OTU,St01_MN,St01_SG,St01_CR,St01_SD,St02_MN,St02_SG,St02_CR,St02_SD,St03_MN,St03_SG,St03_CR,St03_SD,St04_MN,St04_SG,St04_CR,St04_SD,St05_MN,St05_SG,St05_CR,St05_SD,St06_MN,St06_SG,St06_CR,St06_SD,St07_MN,St07_SG,St07_CR,St07_SD,St08_MN,St08_SG,St08_CR,St08_SD,St09_MN,St09_SG,St09_CR,St09_SD,St10_SD,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_72,181,79,104,0,603,830,0,0,4101,2000,141,0,697,812,781,0,184,408,39,0,16,132,59,0,83,263,239,0,273,965,0,0,135,88,0,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
OTU_73,0,0,0,1025,0,0,0,956,0,0,0,1211,0,0,0,856,0,0,0,1052,0,0,0,1770,0,0,0,1234,0,0,10,1362,0,0,0,972,1,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_74,597,1126,427,0,270,471,0,0,1746,790,61,0,318,422,1441,0,731,312,54,0,1083,115,50,0,367,294,196,0,399,146,0,0,753,58,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_IV,NA,NA
OTU_75,1211,1133,431,0,487,815,0,0,1577,706,96,0,483,791,572,0,674,220,0,0,791,150,87,0,918,431,284,0,856,359,0,0,734,0,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,NA
OTU_76,0,0,0,829,0,0,249,1178,0,0,35,1487,0,0,0,878,0,0,0,637,0,0,0,1424,0,0,0,822,0,0,49,981,0,0,0,851,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_77,0,0,0,1015,0,0,0,777,0,0,0,949,0,0,0,867,0,0,0,1059,0,0,0,1770,0,0,0,967,0,0,0,1510,0,0,0,897,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_78,1646,1444,739,0,661,1988,49,0,2869,1969,156,0,229,270,655,0,89,344,255,0,103,698,650,0,34,706,87,0,18,0,0,0,0,94,119,0,0,Archaea,Chloroflexi,Thermoplasmata,Marine_Group_II,NA,NA,NA
OTU_79,0,2332,1417,0,0,0,0,0,0,0,100,0,0,0,82,0,0,2152,744,0,0,2207,869,0,0,2153,546,0,0,485,41,0,0,720,1165,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,NA
OTU_80,0,43,442,210,0,12,6390,179,0,11,267,369,0,7,47,249,0,0,210,360,0,0,99,381,0,21,68,341,0,0,5169,348,0,49,349,257,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_81,2,5,6,1062,0,0,39,965,11,11,12,924,1,3,11,782,0,17,11,861,0,24,26,961,0,18,14,990,0,15,31,1051,0,13,37,614,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_82,0,0,239,854,0,0,1081,982,0,0,249,1211,0,0,0,727,0,0,109,726,0,0,0,792,0,0,0,646,0,0,555,750,0,0,115,472,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_83,370,341,888,0,55,278,1820,0,582,326,549,0,226,228,57,0,0,259,526,0,0,510,778,0,0,475,743,0,0,609,2504,0,0,926,1320,0,0,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,NA
OTU_84,426,350,484,0,328,478,620,0,1263,711,486,0,238,333,353,0,176,613,579,0,66,684,685,0,89,586,541,0,105,814,689,0,89,1006,1426,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_85,217,0,0,0,970,1278,218,0,1165,400,1691,0,46,154,0,0,0,192,52,0,0,0,0,0,0,0,0,0,0,6721,2671,0,0,25,26,0,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,Alteromonas,NA
OTU_86,0,0,0,651,0,0,612,853,0,0,0,1107,0,0,0,748,0,0,0,872,0,0,0,921,0,0,0,1103,0,0,263,780,0,0,0,611,0,Bacteria,Proteobacteria,GammaProteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,NA
OTU_87,0,0,0,672,0,0,257,1082,0,0,0,885,0,0,0,696,0,0,0,717,0,0,0,1288,0,0,0,941,0,0,140,1098,0,0,0,1255,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
OTU_88,1381,613,316,0,713,1260,0,0,1833,1016,100,0,281,617,272,0,454,218,80,0,78,233,89,0,664,246,165,0,345,607,0,0,317,57,80,0,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_89,0,0,0,1058,0,0,0,1077,0,0,0,1196,0,0,0,568,0,0,0,422,0,0,0,1122,0,0,0,566,0,0,0,957,0,0,0,854,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_90,0,0,0,1093,0,0,251,1169,0,0,10,1795,0,0,0,1258,0,0,0,868,0,0,0,1327,0,0,0,818,0,0,31,587,0,0,0,713,0,Bacteria,Proteobacteria,GammaProteobacteria,KI89A_clade,NA,NA,NA
OTU_91,0,0,0,866,0,0,135,893,0,0,47,904,0,0,0,572,0,0,0,925,0,0,0,2334,0,0,0,1177,0,0,106,971,0,0,0,2527,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,NA,NA
OTU_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
OTU_93,0,0,0,934,0,0,46,1053,0,0,10,1693,0,0,0,806,0,0,0,699,0,0,0,961,0,0,0,509,0,0,0,820,0,0,0,689,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_94,0,488,785,0,0,0,493,0,0,0,567,0,10,38,58,0,0,826,1157,0,0,1308,1251,0,0,819,864,0,0,1150,1437,0,0,1875,2043,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
OTU_95,0,179,822,0,0,0,134,0,0,0,380,0,0,0,0,0,0,414,966,0,0,1270,1152,0,0,568,299,0,0,296,1625,0,0,432,1387,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,NA,NA
OTU_96,1820,371,94,0,1606,1718,0,0,3560,1112,0,0,927,1111,275,0,457,64,0,0,0,0,0,0,560,37,36,0,196,259,25,0,97,0,0,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Synechococcus_CC9902,NA
OTU_97,390,282,269,0,354,377,86,0,1249,597,181,0,221,196,490,11,439,444,326,0,754,524,444,0,391,571,341,0,294,323,79,0,408,383,466,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ia,NA
OTU_98,0,0,0,853,0,0,0,849,0,0,0,858,0,0,0,615,0,0,0,488,0,0,0,1393,0,0,0,774,0,0,0,1015,0,0,0,618,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_99,0,0,0,925,0,0,26,949,0,0,0,1139,0,0,0,731,0,0,0,295,0,0,0,1004,0,0,0,565,0,0,0,577,0,0,0,681,0,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA,NA
OTU_100,62,169,84,161,20,114,117,317,135,171,68,91,39,724,100,92,17,90,39,177,20,50,0,120,9,19,23,184,0,21,90,219,0,18,17,203,0,Bacteria,Proteobacteria,GammaProteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
